size,data_type,algorithm,threshold,iteration,time_µs
500,random,merge_std,0,0,138
500,random,merge_std,0,1,139
500,random,merge_std,0,2,56
500,random,merge_std,0,3,50
500,random,merge_std,0,4,49
500,random,merge_hybrid,5,0,44
500,random,merge_hybrid,5,1,42
500,random,merge_hybrid,5,2,41
500,random,merge_hybrid,5,3,40
500,random,merge_hybrid,5,4,40
500,random,merge_hybrid,10,0,39
500,random,merge_hybrid,10,1,38
500,random,merge_hybrid,10,2,38
500,random,merge_hybrid,10,3,37
500,random,merge_hybrid,10,4,36
500,random,merge_hybrid,15,0,36
500,random,merge_hybrid,15,1,35
500,random,merge_hybrid,15,2,35
500,random,merge_hybrid,15,3,34
500,random,merge_hybrid,15,4,34
500,random,merge_hybrid,20,0,34
500,random,merge_hybrid,20,1,33
500,random,merge_hybrid,20,2,33
500,random,merge_hybrid,20,3,34
500,random,merge_hybrid,20,4,33
500,random,merge_hybrid,30,0,33
500,random,merge_hybrid,30,1,32
500,random,merge_hybrid,30,2,32
500,random,merge_hybrid,30,3,32
500,random,merge_hybrid,30,4,31
500,random,merge_hybrid,50,0,42
500,random,merge_hybrid,50,1,35
500,random,merge_hybrid,50,2,35
500,random,merge_hybrid,50,3,34
500,random,merge_hybrid,50,4,34
500,reversed,merge_std,0,0,50
500,reversed,merge_std,0,1,32
500,reversed,merge_std,0,2,32
500,reversed,merge_std,0,3,32
500,reversed,merge_std,0,4,32
500,reversed,merge_hybrid,5,0,27
500,reversed,merge_hybrid,5,1,25
500,reversed,merge_hybrid,5,2,25
500,reversed,merge_hybrid,5,3,25
500,reversed,merge_hybrid,5,4,25
500,reversed,merge_hybrid,10,0,23
500,reversed,merge_hybrid,10,1,22
500,reversed,merge_hybrid,10,2,22
500,reversed,merge_hybrid,10,3,22
500,reversed,merge_hybrid,10,4,22
500,reversed,merge_hybrid,15,0,22
500,reversed,merge_hybrid,15,1,23
500,reversed,merge_hybrid,15,2,22
500,reversed,merge_hybrid,15,3,22
500,reversed,merge_hybrid,15,4,22
500,reversed,merge_hybrid,20,0,23
500,reversed,merge_hybrid,20,1,23
500,reversed,merge_hybrid,20,2,23
500,reversed,merge_hybrid,20,3,23
500,reversed,merge_hybrid,20,4,23
500,reversed,merge_hybrid,30,0,23
500,reversed,merge_hybrid,30,1,23
500,reversed,merge_hybrid,30,2,23
500,reversed,merge_hybrid,30,3,22
500,reversed,merge_hybrid,30,4,23
500,reversed,merge_hybrid,50,0,29
500,reversed,merge_hybrid,50,1,29
500,reversed,merge_hybrid,50,2,29
500,reversed,merge_hybrid,50,3,29
500,reversed,merge_hybrid,50,4,29
500,nearly_sorted,merge_std,0,0,31
500,nearly_sorted,merge_std,0,1,30
500,nearly_sorted,merge_std,0,2,30
500,nearly_sorted,merge_std,0,3,30
500,nearly_sorted,merge_std,0,4,30
500,nearly_sorted,merge_hybrid,5,0,25
500,nearly_sorted,merge_hybrid,5,1,56
500,nearly_sorted,merge_hybrid,5,2,26
500,nearly_sorted,merge_hybrid,5,3,25
500,nearly_sorted,merge_hybrid,5,4,25
500,nearly_sorted,merge_hybrid,10,0,21
500,nearly_sorted,merge_hybrid,10,1,20
500,nearly_sorted,merge_hybrid,10,2,20
500,nearly_sorted,merge_hybrid,10,3,20
500,nearly_sorted,merge_hybrid,10,4,20
500,nearly_sorted,merge_hybrid,15,0,19
500,nearly_sorted,merge_hybrid,15,1,19
500,nearly_sorted,merge_hybrid,15,2,19
500,nearly_sorted,merge_hybrid,15,3,19
500,nearly_sorted,merge_hybrid,15,4,19
500,nearly_sorted,merge_hybrid,20,0,17
500,nearly_sorted,merge_hybrid,20,1,17
500,nearly_sorted,merge_hybrid,20,2,16
500,nearly_sorted,merge_hybrid,20,3,16
500,nearly_sorted,merge_hybrid,20,4,16
500,nearly_sorted,merge_hybrid,30,0,17
500,nearly_sorted,merge_hybrid,30,1,16
500,nearly_sorted,merge_hybrid,30,2,16
500,nearly_sorted,merge_hybrid,30,3,16
500,nearly_sorted,merge_hybrid,30,4,17
500,nearly_sorted,merge_hybrid,50,0,13
500,nearly_sorted,merge_hybrid,50,1,13
500,nearly_sorted,merge_hybrid,50,2,13
500,nearly_sorted,merge_hybrid,50,3,14
500,nearly_sorted,merge_hybrid,50,4,13
600,random,merge_std,0,0,105
600,random,merge_std,0,1,65
600,random,merge_std,0,2,63
600,random,merge_std,0,3,62
600,random,merge_std,0,4,61
600,random,merge_hybrid,5,0,57
600,random,merge_hybrid,5,1,54
600,random,merge_hybrid,5,2,54
600,random,merge_hybrid,5,3,54
600,random,merge_hybrid,5,4,50
600,random,merge_hybrid,10,0,50
600,random,merge_hybrid,10,1,48
600,random,merge_hybrid,10,2,47
600,random,merge_hybrid,10,3,46
600,random,merge_hybrid,10,4,46
600,random,merge_hybrid,15,0,46
600,random,merge_hybrid,15,1,46
600,random,merge_hybrid,15,2,46
600,random,merge_hybrid,15,3,54
600,random,merge_hybrid,15,4,45
600,random,merge_hybrid,20,0,46
600,random,merge_hybrid,20,1,45
600,random,merge_hybrid,20,2,45
600,random,merge_hybrid,20,3,44
600,random,merge_hybrid,20,4,44
600,random,merge_hybrid,30,0,45
600,random,merge_hybrid,30,1,44
600,random,merge_hybrid,30,2,43
600,random,merge_hybrid,30,3,43
600,random,merge_hybrid,30,4,43
600,random,merge_hybrid,50,0,47
600,random,merge_hybrid,50,1,47
600,random,merge_hybrid,50,2,46
600,random,merge_hybrid,50,3,46
600,random,merge_hybrid,50,4,46
600,reversed,merge_std,0,0,50
600,reversed,merge_std,0,1,38
600,reversed,merge_std,0,2,37
600,reversed,merge_std,0,3,37
600,reversed,merge_std,0,4,37
600,reversed,merge_hybrid,5,0,31
600,reversed,merge_hybrid,5,1,30
600,reversed,merge_hybrid,5,2,29
600,reversed,merge_hybrid,5,3,28
600,reversed,merge_hybrid,5,4,29
600,reversed,merge_hybrid,10,0,27
600,reversed,merge_hybrid,10,1,26
600,reversed,merge_hybrid,10,2,25
