size,data_type,algorithm,threshold,time_µs
500,nearly_sorted,merge_hybrid,5,25.0
500,nearly_sorted,merge_hybrid,10,20.0
500,nearly_sorted,merge_hybrid,15,19.0
500,nearly_sorted,merge_hybrid,20,16.0
500,nearly_sorted,merge_hybrid,30,16.0
500,nearly_sorted,merge_hybrid,50,13.0
500,nearly_sorted,merge_std,0,30.0
500,random,merge_hybrid,5,41.0
500,random,merge_hybrid,10,38.0
500,random,merge_hybrid,15,35.0
500,random,merge_hybrid,20,33.0
500,random,merge_hybrid,30,32.0
500,random,merge_hybrid,50,35.0
500,random,merge_std,0,56.0
500,reversed,merge_hybrid,5,25.0
500,reversed,merge_hybrid,10,22.0
500,reversed,merge_hybrid,15,22.0
500,reversed,merge_hybrid,20,23.0
500,reversed,merge_hybrid,30,23.0
500,reversed,merge_hybrid,50,29.0
500,reversed,merge_std,0,32.0
600,nearly_sorted,merge_hybrid,5,31.0
600,nearly_sorted,merge_hybrid,10,26.0
600,nearly_sorted,merge_hybrid,15,25.0
600,nearly_sorted,merge_hybrid,20,20.0
600,nearly_sorted,merge_hybrid,30,20.0
600,nearly_sorted,merge_hybrid,50,17.0
600,nearly_sorted,merge_std,0,43.0
600,random,merge_hybrid,5,54.0
600,random,merge_hybrid,10,47.0
600,random,merge_hybrid,15,46.0
600,random,merge_hybrid,20,45.0
600,random,merge_hybrid,30,43.0
600,random,merge_hybrid,50,46.0
600,random,merge_std,0,63.0
600,reversed,merge_hybrid,5,29.0
600,reversed,merge_hybrid,10,26.0
600,reversed,merge_hybrid,15,25.0
600,reversed,merge_hybrid,20,26.0
600,reversed,merge_hybrid,30,26.0
600,reversed,merge_hybrid,50,37.0
600,reversed,merge_std,0,37.0
700,nearly_sorted,merge_hybrid,5,36.0
700,nearly_sorted,merge_hybrid,10,33.0
700,nearly_sorted,merge_hybrid,15,28.0
700,nearly_sorted,merge_hybrid,20,28.0
700,nearly_sorted,merge_hybrid,30,23.0
700,nearly_sorted,merge_hybrid,50,19.0
700,nearly_sorted,merge_std,0,45.0
700,random,merge_hybrid,5,65.0
700,random,merge_hybrid,10,60.0
700,random,merge_hybrid,15,58.0
700,random,merge_hybrid,20,56.0
700,random,merge_hybrid,30,57.0
700,random,merge_hybrid,50,58.0
700,random,merge_std,0,74.0
700,reversed,merge_hybrid,5,50.0
700,reversed,merge_hybrid,10,49.0
700,reversed,merge_hybrid,15,44.0
700,reversed,merge_hybrid,20,43.0
700,reversed,merge_hybrid,30,32.0
700,reversed,merge_hybrid,50,50.0
700,reversed,merge_std,0,76.0
800,nearly_sorted,merge_hybrid,5,44.0
800,nearly_sorted,merge_hybrid,10,39.0
800,nearly_sorted,merge_hybrid,15,32.0
800,nearly_sorted,merge_hybrid,20,32.0
800,nearly_sorted,merge_hybrid,30,27.0
800,nearly_sorted,merge_hybrid,50,22.0
800,nearly_sorted,merge_std,0,54.0
800,random,merge_hybrid,5,77.0
800,random,merge_hybrid,10,72.0
800,random,merge_hybrid,15,68.0
800,random,merge_hybrid,20,69.0
800,random,merge_hybrid,30,65.0
800,random,merge_hybrid,50,70.0
800,random,merge_std,0,88.0
800,reversed,merge_hybrid,5,44.0
800,reversed,merge_hybrid,10,40.0
800,reversed,merge_hybrid,15,36.0
800,reversed,merge_hybrid,20,37.0
800,reversed,merge_hybrid,30,43.0
800,reversed,merge_hybrid,50,68.0
800,reversed,merge_std,0,53.0
900,nearly_sorted,merge_hybrid,5,53.0
900,nearly_sorted,merge_hybrid,10,48.0
900,nearly_sorted,merge_hybrid,15,42.0
900,nearly_sorted,merge_hybrid,20,42.0
900,nearly_sorted,merge_hybrid,30,35.0
900,nearly_sorted,merge_hybrid,50,35.0
900,nearly_sorted,merge_std,0,65.0
900,random,merge_hybrid,5,86.0
900,random,merge_hybrid,10,81.0
900,random,merge_hybrid,15,77.0
900,random,merge_hybrid,20,82.0
900,random,merge_hybrid,30,81.0
900,random,merge_hybrid,50,80.0
900,random,merge_std,0,104.0
900,reversed,merge_hybrid,5,50.0
900,reversed,merge_hybrid,10,44.0
900,reversed,merge_hybrid,15,42.0
900,reversed,merge_hybrid,20,42.0
900,reversed,merge_hybrid,30,53.0
900,reversed,merge_hybrid,50,52.0
900,reversed,merge_std,0,63.0
1000,nearly_sorted,merge_hybrid,5,54.0
1000,nearly_sorted,merge_hybrid,10,47.0
1000,nearly_sorted,merge_hybrid,15,45.0
1000,nearly_sorted,merge_hybrid,20,39.0
1000,nearly_sorted,merge_hybrid,30,39.0
1000,nearly_sorted,merge_hybrid,50,33.0
1000,nearly_sorted,merge_std,0,68.0
1000,random,merge_hybrid,5,104.0
1000,random,merge_hybrid,10,144.0
1000,random,merge_hybrid,15,113.0
1000,random,merge_hybrid,20,116.0
1000,random,merge_hybrid,30,114.0
1000,random,merge_hybrid,50,138.0
1000,random,merge_std,0,113.0
1000,reversed,merge_hybrid,5,54.0
1000,reversed,merge_hybrid,10,49.0
1000,reversed,merge_hybrid,15,49.0
1000,reversed,merge_hybrid,20,50.0
1000,reversed,merge_hybrid,30,49.0
1000,reversed,merge_hybrid,50,66.0
1000,reversed,merge_std,0,67.0
1100,nearly_sorted,merge_hybrid,5,60.0
1100,nearly_sorted,merge_hybrid,10,51.0
1100,nearly_sorted,merge_hybrid,15,66.0
1100,nearly_sorted,merge_hybrid,20,43.0
1100,nearly_sorted,merge_hybrid,30,43.0
1100,nearly_sorted,merge_hybrid,50,37.0
1100,nearly_sorted,merge_std,0,77.0
1100,random,merge_hybrid,5,115.0
1100,random,merge_hybrid,10,104.0
1100,random,merge_hybrid,15,104.0
1100,random,merge_hybrid,20,100.0
1100,random,merge_hybrid,30,101.0
1100,random,merge_hybrid,50,103.0
1100,random,merge_std,0,127.0
1100,reversed,merge_hybrid,5,60.0
1100,reversed,merge_hybrid,10,54.0
1100,reversed,merge_hybrid,15,52.0
1100,reversed,merge_hybrid,20,53.0
1100,reversed,merge_hybrid,30,52.0
1100,reversed,merge_hybrid,50,74.0
1100,reversed,merge_std,0,75.0
1200,nearly_sorted,merge_hybrid,5,67.0
1200,nearly_sorted,merge_hybrid,10,57.0
1200,nearly_sorted,merge_hybrid,15,58.0
1200,nearly_sorted,merge_hybrid,20,48.0
1200,nearly_sorted,merge_hybrid,30,50.0
1200,nearly_sorted,merge_hybrid,50,41.0
1200,nearly_sorted,merge_std,0,86.0
1200,random,merge_hybrid,5,125.0
1200,random,merge_hybrid,10,118.0
1200,random,merge_hybrid,15,126.0
1200,random,merge_hybrid,20,115.0
1200,random,merge_hybrid,30,112.0
1200,random,merge_hybrid,50,114.0
1200,random,merge_std,0,140.0
1200,reversed,merge_hybrid,5,67.0
