size,data_type,algorithm,threshold,time_µs
500,nearly_sorted,merge_hybrid,5,25.0
500,nearly_sorted,merge_hybrid,10,20.0
500,nearly_sorted,merge_hybrid,15,19.0
500,nearly_sorted,merge_hybrid,20,16.0
500,nearly_sorted,merge_hybrid,30,16.0
500,nearly_sorted,merge_hybrid,50,13.0
500,nearly_sorted,merge_std,0,30.0
600,nearly_sorted,merge_hybrid,5,31.0
600,nearly_sorted,merge_hybrid,10,26.0
600,nearly_sorted,merge_hybrid,15,25.0
600,nearly_sorted,merge_hybrid,20,20.0
600,nearly_sorted,merge_hybrid,30,20.0
600,nearly_sorted,merge_hybrid,50,17.0
600,nearly_sorted,merge_std,0,43.0
700,nearly_sorted,merge_hybrid,5,36.0
700,nearly_sorted,merge_hybrid,10,33.0
700,nearly_sorted,merge_hybrid,15,28.0
700,nearly_sorted,merge_hybrid,20,28.0
700,nearly_sorted,merge_hybrid,30,23.0
700,nearly_sorted,merge_hybrid,50,19.0
700,nearly_sorted,merge_std,0,45.0
800,nearly_sorted,merge_hybrid,5,44.0
800,nearly_sorted,merge_hybrid,10,39.0
800,nearly_sorted,merge_hybrid,15,32.0
800,nearly_sorted,merge_hybrid,20,32.0
800,nearly_sorted,merge_hybrid,30,27.0
800,nearly_sorted,merge_hybrid,50,22.0
800,nearly_sorted,merge_std,0,54.0
900,nearly_sorted,merge_hybrid,5,53.0
900,nearly_sorted,merge_hybrid,10,48.0
900,nearly_sorted,merge_hybrid,15,42.0
900,nearly_sorted,merge_hybrid,20,42.0
900,nearly_sorted,merge_hybrid,30,35.0
900,nearly_sorted,merge_hybrid,50,35.0
900,nearly_sorted,merge_std,0,65.0
1000,nearly_sorted,merge_hybrid,5,54.0
1000,nearly_sorted,merge_hybrid,10,47.0
1000,nearly_sorted,merge_hybrid,15,45.0
1000,nearly_sorted,merge_hybrid,20,39.0
1000,nearly_sorted,merge_hybrid,30,39.0
1000,nearly_sorted,merge_hybrid,50,33.0
1000,nearly_sorted,merge_std,0,68.0
1100,nearly_sorted,merge_hybrid,5,60.0
1100,nearly_sorted,merge_hybrid,10,51.0
1100,nearly_sorted,merge_hybrid,15,66.0
1100,nearly_sorted,merge_hybrid,20,43.0
1100,nearly_sorted,merge_hybrid,30,43.0
1100,nearly_sorted,merge_hybrid,50,37.0
1100,nearly_sorted,merge_std,0,77.0
1200,nearly_sorted,merge_hybrid,5,67.0
1200,nearly_sorted,merge_hybrid,10,57.0
1200,nearly_sorted,merge_hybrid,15,58.0
1200,nearly_sorted,merge_hybrid,20,48.0
1200,nearly_sorted,merge_hybrid,30,50.0
1200,nearly_sorted,merge_hybrid,50,41.0
1200,nearly_sorted,merge_std,0,86.0
1300,nearly_sorted,merge_hybrid,5,76.0
1300,nearly_sorted,merge_hybrid,10,64.0
1300,nearly_sorted,merge_hybrid,15,62.0
1300,nearly_sorted,merge_hybrid,20,112.0
1300,nearly_sorted,merge_hybrid,30,108.0
1300,nearly_sorted,merge_hybrid,50,45.0
1300,nearly_sorted,merge_std,0,93.0
1400,nearly_sorted,merge_hybrid,5,83.0
1400,nearly_sorted,merge_hybrid,10,79.0
1400,nearly_sorted,merge_hybrid,15,66.0
1400,nearly_sorted,merge_hybrid,20,66.0
1400,nearly_sorted,merge_hybrid,30,56.0
1400,nearly_sorted,merge_hybrid,50,48.0
1400,nearly_sorted,merge_std,0,99.0
1500,nearly_sorted,merge_hybrid,5,90.0
1500,nearly_sorted,merge_hybrid,10,88.0
1500,nearly_sorted,merge_hybrid,15,71.0
1500,nearly_sorted,merge_hybrid,20,78.0
1500,nearly_sorted,merge_hybrid,30,59.0
1500,nearly_sorted,merge_hybrid,50,51.0
1500,nearly_sorted,merge_std,0,105.0
1600,nearly_sorted,merge_hybrid,5,186.0
1600,nearly_sorted,merge_hybrid,10,88.0
1600,nearly_sorted,merge_hybrid,15,74.0
1600,nearly_sorted,merge_hybrid,20,149.0
1600,nearly_sorted,merge_hybrid,30,134.0
1600,nearly_sorted,merge_hybrid,50,118.0
1600,nearly_sorted,merge_std,0,215.0
1700,nearly_sorted,merge_hybrid,5,113.0
1700,nearly_sorted,merge_hybrid,10,102.0
1700,nearly_sorted,merge_hybrid,15,79.0
1700,nearly_sorted,merge_hybrid,20,79.0
1700,nearly_sorted,merge_hybrid,30,67.0
1700,nearly_sorted,merge_hybrid,50,145.0
1700,nearly_sorted,merge_std,0,130.0
1800,nearly_sorted,merge_hybrid,5,209.0
1800,nearly_sorted,merge_hybrid,10,188.0
1800,nearly_sorted,merge_hybrid,15,169.0
1800,nearly_sorted,merge_hybrid,20,169.0
1800,nearly_sorted,merge_hybrid,30,70.0
1800,nearly_sorted,merge_hybrid,50,70.0
1800,nearly_sorted,merge_std,0,245.0
1900,nearly_sorted,merge_hybrid,5,112.0
1900,nearly_sorted,merge_hybrid,10,101.0
1900,nearly_sorted,merge_hybrid,15,85.0
1900,nearly_sorted,merge_hybrid,20,85.0
1900,nearly_sorted,merge_hybrid,30,74.0
1900,nearly_sorted,merge_hybrid,50,94.0
1900,nearly_sorted,merge_std,0,135.0
2000,nearly_sorted,merge_hybrid,5,110.0
2000,nearly_sorted,merge_hybrid,10,95.0
2000,nearly_sorted,merge_hybrid,15,90.0
2000,nearly_sorted,merge_hybrid,20,81.0
2000,nearly_sorted,merge_hybrid,30,81.0
2000,nearly_sorted,merge_hybrid,50,70.0
2000,nearly_sorted,merge_std,0,138.0
2100,nearly_sorted,merge_hybrid,5,117.0
2100,nearly_sorted,merge_hybrid,10,105.0
2100,nearly_sorted,merge_hybrid,15,101.0
2100,nearly_sorted,merge_hybrid,20,87.0
2100,nearly_sorted,merge_hybrid,30,87.0
2100,nearly_sorted,merge_hybrid,50,75.0
2100,nearly_sorted,merge_std,0,144.0
2200,nearly_sorted,merge_hybrid,5,226.0
2200,nearly_sorted,merge_hybrid,10,109.0
2200,nearly_sorted,merge_hybrid,15,112.0
2200,nearly_sorted,merge_hybrid,20,96.0
2200,nearly_sorted,merge_hybrid,30,95.0
2200,nearly_sorted,merge_hybrid,50,83.0
2200,nearly_sorted,merge_std,0,369.0
2300,nearly_sorted,merge_hybrid,5,128.0
2300,nearly_sorted,merge_hybrid,10,114.0
2300,nearly_sorted,merge_hybrid,15,117.0
2300,nearly_sorted,merge_hybrid,20,100.0
2300,nearly_sorted,merge_hybrid,30,100.0
2300,nearly_sorted,merge_hybrid,50,83.0
2300,nearly_sorted,merge_std,0,161.0
2400,nearly_sorted,merge_hybrid,5,135.0
2400,nearly_sorted,merge_hybrid,10,119.0
2400,nearly_sorted,merge_hybrid,15,119.0
2400,nearly_sorted,merge_hybrid,20,103.0
