size,data_type,algorithm,threshold,time_µs
500,nearly_sorted,merge_std,0,30.0
600,nearly_sorted,merge_std,0,43.0
700,nearly_sorted,merge_std,0,45.0
800,nearly_sorted,merge_std,0,54.0
900,nearly_sorted,merge_std,0,65.0
1000,nearly_sorted,merge_std,0,68.0
1100,nearly_sorted,merge_std,0,77.0
1200,nearly_sorted,merge_std,0,86.0
1300,nearly_sorted,merge_std,0,93.0
1400,nearly_sorted,merge_std,0,99.0
1500,nearly_sorted,merge_std,0,105.0
1600,nearly_sorted,merge_std,0,215.0
1700,nearly_sorted,merge_std,0,130.0
1800,nearly_sorted,merge_std,0,245.0
1900,nearly_sorted,merge_std,0,135.0
2000,nearly_sorted,merge_std,0,138.0
2100,nearly_sorted,merge_std,0,144.0
2200,nearly_sorted,merge_std,0,369.0
2300,nearly_sorted,merge_std,0,161.0
2400,nearly_sorted,merge_std,0,177.0
2500,nearly_sorted,merge_std,0,172.0
2600,nearly_sorted,merge_std,0,178.0
2700,nearly_sorted,merge_std,0,190.0
2800,nearly_sorted,merge_std,0,274.0
2900,nearly_sorted,merge_std,0,200.0
3000,nearly_sorted,merge_std,0,210.0
3100,nearly_sorted,merge_std,0,214.0
3200,nearly_sorted,merge_std,0,262.0
3300,nearly_sorted,merge_std,0,254.0
3400,nearly_sorted,merge_std,0,262.0
3500,nearly_sorted,merge_std,0,260.0
3600,nearly_sorted,merge_std,0,256.0
3700,nearly_sorted,merge_std,0,259.0
3800,nearly_sorted,merge_std,0,267.0
3900,nearly_sorted,merge_std,0,275.0
4000,nearly_sorted,merge_std,0,327.0
4100,nearly_sorted,merge_std,0,322.0
4200,nearly_sorted,merge_std,0,299.0
4300,nearly_sorted,merge_std,0,316.0
4400,nearly_sorted,merge_std,0,330.0
4500,nearly_sorted,merge_std,0,327.0
4600,nearly_sorted,merge_std,0,333.0
4700,nearly_sorted,merge_std,0,412.0
4800,nearly_sorted,merge_std,0,354.0
4900,nearly_sorted,merge_std,0,369.0
5000,nearly_sorted,merge_std,0,431.0
5100,nearly_sorted,merge_std,0,391.0
5200,nearly_sorted,merge_std,0,400.0
5300,nearly_sorted,merge_std,0,397.0
5400,nearly_sorted,merge_std,0,421.0
5500,nearly_sorted,merge_std,0,428.0
5600,nearly_sorted,merge_std,0,414.0
5700,nearly_sorted,merge_std,0,427.0
5800,nearly_sorted,merge_std,0,438.0
5900,nearly_sorted,merge_std,0,535.0
6000,nearly_sorted,merge_std,0,487.0
6100,nearly_sorted,merge_std,0,660.0
6200,nearly_sorted,merge_std,0,581.0
6300,nearly_sorted,merge_std,0,488.0
6400,nearly_sorted,merge_std,0,492.0
6500,nearly_sorted,merge_std,0,505.0
6600,nearly_sorted,merge_std,0,533.0
6700,nearly_sorted,merge_std,0,513.0
6800,nearly_sorted,merge_std,0,512.0
6900,nearly_sorted,merge_std,0,523.0
7000,nearly_sorted,merge_std,0,544.0
7100,nearly_sorted,merge_std,0,564.0
7200,nearly_sorted,merge_std,0,553.0
7300,nearly_sorted,merge_std,0,574.0
7400,nearly_sorted,merge_std,0,600.0
7500,nearly_sorted,merge_std,0,569.0
7600,nearly_sorted,merge_std,0,606.0
7700,nearly_sorted,merge_std,0,590.0
7800,nearly_sorted,merge_std,0,605.0
7900,nearly_sorted,merge_std,0,623.0
8000,nearly_sorted,merge_std,0,630.0
8100,nearly_sorted,merge_std,0,624.0
8200,nearly_sorted,merge_std,0,632.0
8300,nearly_sorted,merge_std,0,679.0
8400,nearly_sorted,merge_std,0,705.0
8500,nearly_sorted,merge_std,0,653.0
8600,nearly_sorted,merge_std,0,672.0
8700,nearly_sorted,merge_std,0,1032.0
8800,nearly_sorted,merge_std,0,720.0
8900,nearly_sorted,merge_std,0,662.0
9000,nearly_sorted,merge_std,0,679.0
9100,nearly_sorted,merge_std,0,718.0
9200,nearly_sorted,merge_std,0,732.0
9300,nearly_sorted,merge_std,0,738.0
9400,nearly_sorted,merge_std,0,780.0
9500,nearly_sorted,merge_std,0,789.0
9600,nearly_sorted,merge_std,0,795.0
9700,nearly_sorted,merge_std,0,769.0
9800,nearly_sorted,merge_std,0,785.0
9900,nearly_sorted,merge_std,0,878.0
10000,nearly_sorted,merge_std,0,842.0
10100,nearly_sorted,merge_std,0,1170.0
10200,nearly_sorted,merge_std,0,817.0
10300,nearly_sorted,merge_std,0,872.0
10400,nearly_sorted,merge_std,0,851.0
10500,nearly_sorted,merge_std,0,844.0
10600,nearly_sorted,merge_std,0,901.0
10700,nearly_sorted,merge_std,0,878.0
10800,nearly_sorted,merge_std,0,862.0
10900,nearly_sorted,merge_std,0,877.0
11000,nearly_sorted,merge_std,0,1024.0
11100,nearly_sorted,merge_std,0,885.0
11200,nearly_sorted,merge_std,0,926.0
11300,nearly_sorted,merge_std,0,930.0
11400,nearly_sorted,merge_std,0,911.0
11500,nearly_sorted,merge_std,0,969.0
11600,nearly_sorted,merge_std,0,1028.0
11700,nearly_sorted,merge_std,0,945.0
11800,nearly_sorted,merge_std,0,943.0
11900,nearly_sorted,merge_std,0,914.0
12000,nearly_sorted,merge_std,0,988.0
12100,nearly_sorted,merge_std,0,1000.0
12200,nearly_sorted,merge_std,0,1060.0
12300,nearly_sorted,merge_std,0,1003.0
12400,nearly_sorted,merge_std,0,1018.0
12500,nearly_sorted,merge_std,0,1008.0
12600,nearly_sorted,merge_std,0,1078.0
12700,nearly_sorted,merge_std,0,986.0
12800,nearly_sorted,merge_std,0,1039.0
12900,nearly_sorted,merge_std,0,1046.0
13000,nearly_sorted,merge_std,0,1075.0
13100,nearly_sorted,merge_std,0,1083.0
13200,nearly_sorted,merge_std,0,1079.0
13300,nearly_sorted,merge_std,0,1127.0
13400,nearly_sorted,merge_std,0,1141.0
13500,nearly_sorted,merge_std,0,1093.0
13600,nearly_sorted,merge_std,0,1120.0
13700,nearly_sorted,merge_std,0,1113.0
13800,nearly_sorted,merge_std,0,1162.0
13900,nearly_sorted,merge_std,0,1185.0
14000,nearly_sorted,merge_std,0,1189.0
14100,nearly_sorted,merge_std,0,1155.0
14200,nearly_sorted,merge_std,0,1184.0
14300,nearly_sorted,merge_std,0,1170.0
14400,nearly_sorted,merge_std,0,1216.0
14500,nearly_sorted,merge_std,0,1209.0
14600,nearly_sorted,merge_std,0,1195.0
14700,nearly_sorted,merge_std,0,1210.0
14800,nearly_sorted,merge_std,0,1328.0
14900,nearly_sorted,merge_std,0,1279.0
15000,nearly_sorted,merge_std,0,1292.0
15100,nearly_sorted,merge_std,0,1235.0
15200,nearly_sorted,merge_std,0,1242.0
15300,nearly_sorted,merge_std,0,1323.0
15400,nearly_sorted,merge_std,0,1278.0
15500,nearly_sorted,merge_std,0,1308.0
15600,nearly_sorted,merge_std,0,1317.0
15700,nearly_sorted,merge_std,0,1311.0
15800,nearly_sorted,merge_std,0,1374.0
15900,nearly_sorted,merge_std,0,1263.0
16000,nearly_sorted,merge_std,0,1382.0
16100,nearly_sorted,merge_std,0,1352.0
16200,nearly_sorted,merge_std,0,1337.0
16300,nearly_sorted,merge_std,0,1391.0
16400,nearly_sorted,merge_std,0,1369.0
16500,nearly_sorted,merge_std,0,1334.0
16600,nearly_sorted,merge_std,0,1391.0
16700,nearly_sorted,merge_std,0,1395.0
16800,nearly_sorted,merge_std,0,1429.0
16900,nearly_sorted,merge_std,0,1394.0
17000,nearly_sorted,merge_std,0,1460.0
17100,nearly_sorted,merge_std,0,1380.0
17200,nearly_sorted,merge_std,0,1464.0
17300,nearly_sorted,merge_std,0,1425.0
17400,nearly_sorted,merge_std,0,1644.0
17500,nearly_sorted,merge_std,0,1409.0
17600,nearly_sorted,merge_std,0,1488.0
17700,nearly_sorted,merge_std,0,1513.0
17800,nearly_sorted,merge_std,0,1478.0
17900,nearly_sorted,merge_std,0,1507.0
18000,nearly_sorted,merge_std,0,1689.0
18100,nearly_sorted,merge_std,0,1473.0
18200,nearly_sorted,merge_std,0,1524.0
18300,nearly_sorted,merge_std,0,1651.0
18400,nearly_sorted,merge_std,0,1573.0
18500,nearly_sorted,merge_std,0,2738.0
18600,nearly_sorted,merge_std,0,1587.0
18700,nearly_sorted,merge_std,0,1620.0
18800,nearly_sorted,merge_std,0,1756.0
18900,nearly_sorted,merge_std,0,1638.0
19000,nearly_sorted,merge_std,0,1679.0
19100,nearly_sorted,merge_std,0,1663.0
19200,nearly_sorted,merge_std,0,1596.0
19300,nearly_sorted,merge_std,0,1672.0
19400,nearly_sorted,merge_std,0,1664.0
19500,nearly_sorted,merge_std,0,1683.0
19600,nearly_sorted,merge_std,0,1707.0
19700,nearly_sorted,merge_std,0,1788.0
19800,nearly_sorted,merge_std,0,1655.0
19900,nearly_sorted,merge_std,0,1707.0
20000,nearly_sorted,merge_std,0,1719.0
20100,nearly_sorted,merge_std,0,1679.0
20200,nearly_sorted,merge_std,0,1749.0
20300,nearly_sorted,merge_std,0,2138.0
20400,nearly_sorted,merge_std,0,1809.0
20500,nearly_sorted,merge_std,0,1811.0
20600,nearly_sorted,merge_std,0,1802.0
20700,nearly_sorted,merge_std,0,1976.0
20800,nearly_sorted,merge_std,0,1824.0
20900,nearly_sorted,merge_std,0,1832.0
21000,nearly_sorted,merge_std,0,1801.0
21100,nearly_sorted,merge_std,0,1902.0
21200,nearly_sorted,merge_std,0,1860.0
21300,nearly_sorted,merge_std,0,1899.0
21400,nearly_sorted,merge_std,0,2137.0
21500,nearly_sorted,merge_std,0,2025.0
21600,nearly_sorted,merge_std,0,2034.0
21700,nearly_sorted,merge_std,0,2047.0
21800,nearly_sorted,merge_std,0,2189.0
21900,nearly_sorted,merge_std,0,2264.0
22000,nearly_sorted,merge_std,0,2044.0
22100,nearly_sorted,merge_std,0,2352.0
22200,nearly_sorted,merge_std,0,2156.0
22300,nearly_sorted,merge_std,0,2145.0
22400,nearly_sorted,merge_std,0,2140.0
22500,nearly_sorted,merge_std,0,2085.0
22600,nearly_sorted,merge_std,0,2170.0
22700,nearly_sorted,merge_std,0,2155.0
22800,nearly_sorted,merge_std,0,2122.0
22900,nearly_sorted,merge_std,0,2176.0
23000,nearly_sorted,merge_std,0,2111.0
23100,nearly_sorted,merge_std,0,2218.0
23200,nearly_sorted,merge_std,0,2220.0
23300,nearly_sorted,merge_std,0,2139.0
23400,nearly_sorted,merge_std,0,2318.0
23500,nearly_sorted,merge_std,0,2193.0
23600,nearly_sorted,merge_std,0,2235.0
23700,nearly_sorted,merge_std,0,2366.0
23800,nearly_sorted,merge_std,0,2230.0
23900,nearly_sorted,merge_std,0,2186.0
24000,nearly_sorted,merge_std,0,2234.0
24100,nearly_sorted,merge_std,0,2280.0
24200,nearly_sorted,merge_std,0,2324.0
24300,nearly_sorted,merge_std,0,2386.0
24400,nearly_sorted,merge_std,0,2338.0
24500,nearly_sorted,merge_std,0,2348.0
24600,nearly_sorted,merge_std,0,2106.0
24700,nearly_sorted,merge_std,0,2163.0
24800,nearly_sorted,merge_std,0,2702.0
24900,nearly_sorted,merge_std,0,2280.0
25000,nearly_sorted,merge_std,0,2363.0
25100,nearly_sorted,merge_std,0,2191.0
25200,nearly_sorted,merge_std,0,2238.0
25300,nearly_sorted,merge_std,0,2260.0
25400,nearly_sorted,merge_std,0,2244.0
25500,nearly_sorted,merge_std,0,2234.0
25600,nearly_sorted,merge_std,0,2178.0
25700,nearly_sorted,merge_std,0,2294.0
25800,nearly_sorted,merge_std,0,2499.0
25900,nearly_sorted,merge_std,0,2264.0
26000,nearly_sorted,merge_std,0,2193.0
26100,nearly_sorted,merge_std,0,2332.0
26200,nearly_sorted,merge_std,0,2308.0
26300,nearly_sorted,merge_std,0,2458.0
26400,nearly_sorted,merge_std,0,2361.0
26500,nearly_sorted,merge_std,0,2333.0
26600,nearly_sorted,merge_std,0,2372.0
26700,nearly_sorted,merge_std,0,2484.0
26800,nearly_sorted,merge_std,0,2355.0
26900,nearly_sorted,merge_std,0,2397.0
27000,nearly_sorted,merge_std,0,2367.0
27100,nearly_sorted,merge_std,0,2330.0
27200,nearly_sorted,merge_std,0,2309.0
27300,nearly_sorted,merge_std,0,2334.0
27400,nearly_sorted,merge_std,0,2486.0
27500,nearly_sorted,merge_std,0,2433.0
27600,nearly_sorted,merge_std,0,2322.0
27700,nearly_sorted,merge_std,0,2370.0
27800,nearly_sorted,merge_std,0,2341.0
27900,nearly_sorted,merge_std,0,2530.0
28000,nearly_sorted,merge_std,0,2633.0
28100,nearly_sorted,merge_std,0,2507.0
28200,nearly_sorted,merge_std,0,2532.0
28300,nearly_sorted,merge_std,0,2535.0
28400,nearly_sorted,merge_std,0,2420.0
28500,nearly_sorted,merge_std,0,2576.0
28600,nearly_sorted,merge_std,0,2579.0
28700,nearly_sorted,merge_std,0,2497.0
28800,nearly_sorted,merge_std,0,2622.0
28900,nearly_sorted,merge_std,0,2573.0
29000,nearly_sorted,merge_std,0,2623.0
29100,nearly_sorted,merge_std,0,2632.0
29200,nearly_sorted,merge_std,0,2494.0
29300,nearly_sorted,merge_std,0,2644.0
29400,nearly_sorted,merge_std,0,2767.0
29500,nearly_sorted,merge_std,0,3098.0
29600,nearly_sorted,merge_std,0,2824.0
29700,nearly_sorted,merge_std,0,2662.0
29800,nearly_sorted,merge_std,0,2828.0
29900,nearly_sorted,merge_std,0,2704.0
30000,nearly_sorted,merge_std,0,2724.0
30100,nearly_sorted,merge_std,0,2772.0
30200,nearly_sorted,merge_std,0,2758.0
30300,nearly_sorted,merge_std,0,2764.0
30400,nearly_sorted,merge_std,0,2618.0
30500,nearly_sorted,merge_std,0,2720.0
30600,nearly_sorted,merge_std,0,2719.0
30700,nearly_sorted,merge_std,0,2631.0
30800,nearly_sorted,merge_std,0,2955.0
30900,nearly_sorted,merge_std,0,2785.0
31000,nearly_sorted,merge_std,0,2707.0
31100,nearly_sorted,merge_std,0,2901.0
31200,nearly_sorted,merge_std,0,2752.0
31300,nearly_sorted,merge_std,0,2841.0
31400,nearly_sorted,merge_std,0,2913.0
31500,nearly_sorted,merge_std,0,3025.0
31600,nearly_sorted,merge_std,0,2975.0
31700,nearly_sorted,merge_std,0,2886.0
31800,nearly_sorted,merge_std,0,2814.0
31900,nearly_sorted,merge_std,0,2986.0
32000,nearly_sorted,merge_std,0,2834.0
32100,nearly_sorted,merge_std,0,3001.0
32200,nearly_sorted,merge_std,0,3053.0
32300,nearly_sorted,merge_std,0,2876.0
32400,nearly_sorted,merge_std,0,2943.0
32500,nearly_sorted,merge_std,0,2898.0
32600,nearly_sorted,merge_std,0,3136.0
32700,nearly_sorted,merge_std,0,3151.0
32800,nearly_sorted,merge_std,0,3165.0
32900,nearly_sorted,merge_std,0,3068.0
33000,nearly_sorted,merge_std,0,3217.0
33100,nearly_sorted,merge_std,0,3147.0
33200,nearly_sorted,merge_std,0,3360.0
33300,nearly_sorted,merge_std,0,3258.0
33400,nearly_sorted,merge_std,0,3270.0
33500,nearly_sorted,merge_std,0,3429.0
33600,nearly_sorted,merge_std,0,3136.0
33700,nearly_sorted,merge_std,0,3563.0
33800,nearly_sorted,merge_std,0,3277.0
33900,nearly_sorted,merge_std,0,3304.0
34000,nearly_sorted,merge_std,0,3197.0
34100,nearly_sorted,merge_std,0,3404.0
34200,nearly_sorted,merge_std,0,3555.0
34300,nearly_sorted,merge_std,0,3264.0
34400,nearly_sorted,merge_std,0,3869.0
34500,nearly_sorted,merge_std,0,3603.0
34600,nearly_sorted,merge_std,0,3256.0
34700,nearly_sorted,merge_std,0,3346.0
34800,nearly_sorted,merge_std,0,3469.0
34900,nearly_sorted,merge_std,0,2986.0
35000,nearly_sorted,merge_std,0,3161.0
35100,nearly_sorted,merge_std,0,3368.0
35200,nearly_sorted,merge_std,0,3291.0
35300,nearly_sorted,merge_std,0,3200.0
35400,nearly_sorted,merge_std,0,3206.0
35500,nearly_sorted,merge_std,0,3093.0
35600,nearly_sorted,merge_std,0,3395.0
35700,nearly_sorted,merge_std,0,3173.0
35800,nearly_sorted,merge_std,0,3396.0
35900,nearly_sorted,merge_std,0,3279.0
36000,nearly_sorted,merge_std,0,3302.0
36100,nearly_sorted,merge_std,0,3304.0
36200,nearly_sorted,merge_std,0,3365.0
36300,nearly_sorted,merge_std,0,3315.0
36400,nearly_sorted,merge_std,0,3402.0
36500,nearly_sorted,merge_std,0,3250.0
36600,nearly_sorted,merge_std,0,3449.0
36700,nearly_sorted,merge_std,0,3276.0
36800,nearly_sorted,merge_std,0,3410.0
36900,nearly_sorted,merge_std,0,3438.0
37000,nearly_sorted,merge_std,0,3473.0
37100,nearly_sorted,merge_std,0,3368.0
37200,nearly_sorted,merge_std,0,3277.0
37300,nearly_sorted,merge_std,0,3586.0
37400,nearly_sorted,merge_std,0,3412.0
37500,nearly_sorted,merge_std,0,3301.0
37600,nearly_sorted,merge_std,0,3399.0
37700,nearly_sorted,merge_std,0,3511.0
37800,nearly_sorted,merge_std,0,3967.0
37900,nearly_sorted,merge_std,0,3584.0
38000,nearly_sorted,merge_std,0,3683.0
38100,nearly_sorted,merge_std,0,3562.0
38200,nearly_sorted,merge_std,0,3775.0
38300,nearly_sorted,merge_std,0,3512.0
38400,nearly_sorted,merge_std,0,3641.0
38500,nearly_sorted,merge_std,0,3565.0
38600,nearly_sorted,merge_std,0,3597.0
38700,nearly_sorted,merge_std,0,3636.0
38800,nearly_sorted,merge_std,0,3738.0
38900,nearly_sorted,merge_std,0,3959.0
39000,nearly_sorted,merge_std,0,3989.0
39100,nearly_sorted,merge_std,0,3688.0
39200,nearly_sorted,merge_std,0,3525.0
39300,nearly_sorted,merge_std,0,3665.0
39400,nearly_sorted,merge_std,0,3664.0
39500,nearly_sorted,merge_std,0,3461.0
39600,nearly_sorted,merge_std,0,3671.0
39700,nearly_sorted,merge_std,0,3694.0
39800,nearly_sorted,merge_std,0,3656.0
39900,nearly_sorted,merge_std,0,3768.0
40000,nearly_sorted,merge_std,0,3720.0
40100,nearly_sorted,merge_std,0,3837.0
40200,nearly_sorted,merge_std,0,3668.0
40300,nearly_sorted,merge_std,0,3597.0
40400,nearly_sorted,merge_std,0,3531.0
40500,nearly_sorted,merge_std,0,3653.0
40600,nearly_sorted,merge_std,0,3571.0
40700,nearly_sorted,merge_std,0,3636.0
40800,nearly_sorted,merge_std,0,4041.0
40900,nearly_sorted,merge_std,0,3958.0
41000,nearly_sorted,merge_std,0,3846.0
41100,nearly_sorted,merge_std,0,3742.0
41200,nearly_sorted,merge_std,0,3968.0
41300,nearly_sorted,merge_std,0,3859.0
41400,nearly_sorted,merge_std,0,3960.0
41500,nearly_sorted,merge_std,0,4159.0
41600,nearly_sorted,merge_std,0,3892.0
41700,nearly_sorted,merge_std,0,3977.0
41800,nearly_sorted,merge_std,0,4003.0
41900,nearly_sorted,merge_std,0,3967.0
42000,nearly_sorted,merge_std,0,4095.0
42100,nearly_sorted,merge_std,0,4003.0
42200,nearly_sorted,merge_std,0,3980.0
42300,nearly_sorted,merge_std,0,4185.0
42400,nearly_sorted,merge_std,0,4248.0
42500,nearly_sorted,merge_std,0,4349.0
42600,nearly_sorted,merge_std,0,4233.0
42700,nearly_sorted,merge_std,0,4225.0
42800,nearly_sorted,merge_std,0,4029.0
42900,nearly_sorted,merge_std,0,4153.0
43000,nearly_sorted,merge_std,0,4002.0
43100,nearly_sorted,merge_std,0,3843.0
43200,nearly_sorted,merge_std,0,4171.0
43300,nearly_sorted,merge_std,0,3964.0
43400,nearly_sorted,merge_std,0,4174.0
43500,nearly_sorted,merge_std,0,4177.0
43600,nearly_sorted,merge_std,0,4204.0
43700,nearly_sorted,merge_std,0,4047.0
43800,nearly_sorted,merge_std,0,4161.0
43900,nearly_sorted,merge_std,0,4165.0
44000,nearly_sorted,merge_std,0,4069.0
44100,nearly_sorted,merge_std,0,4085.0
44200,nearly_sorted,merge_std,0,4087.0
44300,nearly_sorted,merge_std,0,4059.0
44400,nearly_sorted,merge_std,0,4123.0
44500,nearly_sorted,merge_std,0,4221.0
44600,nearly_sorted,merge_std,0,4155.0
44700,nearly_sorted,merge_std,0,4121.0
44800,nearly_sorted,merge_std,0,4060.0
44900,nearly_sorted,merge_std,0,4212.0
45000,nearly_sorted,merge_std,0,4245.0
45100,nearly_sorted,merge_std,0,4091.0
45200,nearly_sorted,merge_std,0,4339.0
45300,nearly_sorted,merge_std,0,4347.0
45400,nearly_sorted,merge_std,0,4327.0
45500,nearly_sorted,merge_std,0,4187.0
45600,nearly_sorted,merge_std,0,4243.0
45700,nearly_sorted,merge_std,0,4343.0
45800,nearly_sorted,merge_std,0,4311.0
45900,nearly_sorted,merge_std,0,4787.0
46000,nearly_sorted,merge_std,0,4230.0
46100,nearly_sorted,merge_std,0,4326.0
46200,nearly_sorted,merge_std,0,4779.0
46300,nearly_sorted,merge_std,0,4562.0
46400,nearly_sorted,merge_std,0,4756.0
46500,nearly_sorted,merge_std,0,5333.0
46600,nearly_sorted,merge_std,0,4584.0
46700,nearly_sorted,merge_std,0,4613.0
46800,nearly_sorted,merge_std,0,4555.0
46900,nearly_sorted,merge_std,0,4822.0
47000,nearly_sorted,merge_std,0,4654.0
47100,nearly_sorted,merge_std,0,4582.0
47200,nearly_sorted,merge_std,0,4746.0
47300,nearly_sorted,merge_std,0,4721.0
47400,nearly_sorted,merge_std,0,4472.0
47500,nearly_sorted,merge_std,0,4617.0
47600,nearly_sorted,merge_std,0,4532.0
47700,nearly_sorted,merge_std,0,4749.0
47800,nearly_sorted,merge_std,0,4941.0
47900,nearly_sorted,merge_std,0,4820.0
48000,nearly_sorted,merge_std,0,4691.0
48100,nearly_sorted,merge_std,0,4959.0
48200,nearly_sorted,merge_std,0,4802.0
48300,nearly_sorted,merge_std,0,4842.0
48400,nearly_sorted,merge_std,0,4784.0
48500,nearly_sorted,merge_std,0,4886.0
48600,nearly_sorted,merge_std,0,4955.0
48700,nearly_sorted,merge_std,0,5104.0
48800,nearly_sorted,merge_std,0,4871.0
48900,nearly_sorted,merge_std,0,5190.0
49000,nearly_sorted,merge_std,0,4919.0
49100,nearly_sorted,merge_std,0,4847.0
49200,nearly_sorted,merge_std,0,4573.0
49300,nearly_sorted,merge_std,0,4812.0
49400,nearly_sorted,merge_std,0,4438.0
49500,nearly_sorted,merge_std,0,4455.0
49600,nearly_sorted,merge_std,0,4845.0
49700,nearly_sorted,merge_std,0,4781.0
49800,nearly_sorted,merge_std,0,4609.0
49900,nearly_sorted,merge_std,0,4972.0
50000,nearly_sorted,merge_std,0,4531.0
50100,nearly_sorted,merge_std,0,4803.0
50200,nearly_sorted,merge_std,0,4716.0
50300,nearly_sorted,merge_std,0,4812.0
50400,nearly_sorted,merge_std,0,4948.0
50500,nearly_sorted,merge_std,0,4779.0
50600,nearly_sorted,merge_std,0,4891.0
50700,nearly_sorted,merge_std,0,4944.0
50800,nearly_sorted,merge_std,0,4909.0
50900,nearly_sorted,merge_std,0,4971.0
51000,nearly_sorted,merge_std,0,4531.0
51100,nearly_sorted,merge_std,0,4829.0
51200,nearly_sorted,merge_std,0,4748.0
51300,nearly_sorted,merge_std,0,4954.0
51400,nearly_sorted,merge_std,0,4745.0
51500,nearly_sorted,merge_std,0,4681.0
51600,nearly_sorted,merge_std,0,4806.0
51700,nearly_sorted,merge_std,0,4815.0
51800,nearly_sorted,merge_std,0,4970.0
