size,data_type,algorithm,threshold,time_µs
500,random,merge_hybrid,5,41.0
500,random,merge_hybrid,10,38.0
500,random,merge_hybrid,15,35.0
500,random,merge_hybrid,20,33.0
500,random,merge_hybrid,30,32.0
500,random,merge_hybrid,50,35.0
600,random,merge_hybrid,5,54.0
600,random,merge_hybrid,10,47.0
600,random,merge_hybrid,15,46.0
600,random,merge_hybrid,20,45.0
600,random,merge_hybrid,30,43.0
600,random,merge_hybrid,50,46.0
700,random,merge_hybrid,5,65.0
700,random,merge_hybrid,10,60.0
700,random,merge_hybrid,15,58.0
700,random,merge_hybrid,20,56.0
700,random,merge_hybrid,30,57.0
700,random,merge_hybrid,50,58.0
800,random,merge_hybrid,5,77.0
800,random,merge_hybrid,10,72.0
800,random,merge_hybrid,15,68.0
800,random,merge_hybrid,20,69.0
800,random,merge_hybrid,30,65.0
800,random,merge_hybrid,50,70.0
900,random,merge_hybrid,5,86.0
900,random,merge_hybrid,10,81.0
900,random,merge_hybrid,15,77.0
900,random,merge_hybrid,20,82.0
900,random,merge_hybrid,30,81.0
900,random,merge_hybrid,50,80.0
1000,random,merge_hybrid,5,104.0
1000,random,merge_hybrid,10,144.0
1000,random,merge_hybrid,15,113.0
1000,random,merge_hybrid,20,116.0
1000,random,merge_hybrid,30,114.0
1000,random,merge_hybrid,50,138.0
1100,random,merge_hybrid,5,115.0
1100,random,merge_hybrid,10,104.0
1100,random,merge_hybrid,15,104.0
1100,random,merge_hybrid,20,100.0
1100,random,merge_hybrid,30,101.0
1100,random,merge_hybrid,50,103.0
1200,random,merge_hybrid,5,125.0
1200,random,merge_hybrid,10,118.0
1200,random,merge_hybrid,15,126.0
1200,random,merge_hybrid,20,115.0
1200,random,merge_hybrid,30,112.0
1200,random,merge_hybrid,50,114.0
1300,random,merge_hybrid,5,137.0
1300,random,merge_hybrid,10,127.0
1300,random,merge_hybrid,15,125.0
1300,random,merge_hybrid,20,122.0
1300,random,merge_hybrid,30,122.0
1300,random,merge_hybrid,50,132.0
1400,random,merge_hybrid,5,150.0
1400,random,merge_hybrid,10,142.0
1400,random,merge_hybrid,15,136.0
1400,random,merge_hybrid,20,134.0
1400,random,merge_hybrid,30,131.0
1400,random,merge_hybrid,50,138.0
1500,random,merge_hybrid,5,167.0
1500,random,merge_hybrid,10,160.0
1500,random,merge_hybrid,15,150.0
1500,random,merge_hybrid,20,148.0
1500,random,merge_hybrid,30,145.0
1500,random,merge_hybrid,50,161.0
1600,random,merge_hybrid,5,179.0
1600,random,merge_hybrid,10,166.0
1600,random,merge_hybrid,15,155.0
1600,random,merge_hybrid,20,154.0
1600,random,merge_hybrid,30,154.0
1600,random,merge_hybrid,50,168.0
1700,random,merge_hybrid,5,305.0
1700,random,merge_hybrid,10,181.0
1700,random,merge_hybrid,15,169.0
1700,random,merge_hybrid,20,169.0
1700,random,merge_hybrid,30,168.0
1700,random,merge_hybrid,50,167.0
1800,random,merge_hybrid,5,201.0
1800,random,merge_hybrid,10,193.0
1800,random,merge_hybrid,15,180.0
1800,random,merge_hybrid,20,179.0
1800,random,merge_hybrid,30,175.0
1800,random,merge_hybrid,50,175.0
1900,random,merge_hybrid,5,210.0
1900,random,merge_hybrid,10,196.0
1900,random,merge_hybrid,15,190.0
1900,random,merge_hybrid,20,190.0
1900,random,merge_hybrid,30,188.0
1900,random,merge_hybrid,50,187.0
2000,random,merge_hybrid,5,221.0
2000,random,merge_hybrid,10,214.0
2000,random,merge_hybrid,15,188.0
2000,random,merge_hybrid,20,186.0
2000,random,merge_hybrid,30,180.0
2000,random,merge_hybrid,50,184.0
2100,random,merge_hybrid,5,219.0
2100,random,merge_hybrid,10,205.0
2100,random,merge_hybrid,15,202.0
2100,random,merge_hybrid,20,194.0
2100,random,merge_hybrid,30,197.0
2100,random,merge_hybrid,50,206.0
2200,random,merge_hybrid,5,228.0
2200,random,merge_hybrid,10,213.0
2200,random,merge_hybrid,15,210.0
2200,random,merge_hybrid,20,204.0
2200,random,merge_hybrid,30,203.0
2200,random,merge_hybrid,50,207.0
2300,random,merge_hybrid,5,250.0
2300,random,merge_hybrid,10,242.0
2300,random,merge_hybrid,15,235.0
2300,random,merge_hybrid,20,226.0
2300,random,merge_hybrid,30,227.0
2300,random,merge_hybrid,50,242.0
2400,random,merge_hybrid,5,260.0
2400,random,merge_hybrid,10,253.0
2400,random,merge_hybrid,15,249.0
2400,random,merge_hybrid,20,241.0
2400,random,merge_hybrid,30,235.0
2400,random,merge_hybrid,50,243.0
2500,random,merge_hybrid,5,270.0
2500,random,merge_hybrid,10,255.0
2500,random,merge_hybrid,15,254.0
2500,random,merge_hybrid,20,250.0
2500,random,merge_hybrid,30,244.0
2500,random,merge_hybrid,50,278.0
2600,random,merge_hybrid,5,268.0
2600,random,merge_hybrid,10,256.0
2600,random,merge_hybrid,15,251.0
2600,random,merge_hybrid,20,247.0
2600,random,merge_hybrid,30,245.0
2600,random,merge_hybrid,50,255.0
2700,random,merge_hybrid,5,290.0
2700,random,merge_hybrid,10,274.0
2700,random,merge_hybrid,15,274.0
2700,random,merge_hybrid,20,285.0
2700,random,merge_hybrid,30,259.0
2700,random,merge_hybrid,50,267.0
2800,random,merge_hybrid,5,306.0
2800,random,merge_hybrid,10,304.0
2800,random,merge_hybrid,15,458.0
2800,random,merge_hybrid,20,280.0
2800,random,merge_hybrid,30,278.0
2800,random,merge_hybrid,50,290.0
2900,random,merge_hybrid,5,318.0
2900,random,merge_hybrid,10,307.0
2900,random,merge_hybrid,15,291.0
2900,random,merge_hybrid,20,284.0
2900,random,merge_hybrid,30,281.0
2900,random,merge_hybrid,50,307.0
3000,random,merge_hybrid,5,364.0
3000,random,merge_hybrid,10,312.0
3000,random,merge_hybrid,15,297.0
3000,random,merge_hybrid,20,298.0
3000,random,merge_hybrid,30,294.0
3000,random,merge_hybrid,50,308.0
3100,random,merge_hybrid,5,347.0
3100,random,merge_hybrid,10,323.0
3100,random,merge_hybrid,15,311.0
3100,random,merge_hybrid,20,316.0
3100,random,merge_hybrid,30,309.0
3100,random,merge_hybrid,50,320.0
3200,random,merge_hybrid,5,368.0
3200,random,merge_hybrid,10,336.0
3200,random,merge_hybrid,15,321.0
3200,random,merge_hybrid,20,322.0
3200,random,merge_hybrid,30,343.0
3200,random,merge_hybrid,50,353.0
3300,random,merge_hybrid,5,374.0
3300,random,merge_hybrid,10,364.0
3300,random,merge_hybrid,15,340.0
3300,random,merge_hybrid,20,340.0
3300,random,merge_hybrid,30,334.0
