size,data_type,algorithm,threshold,time_µs
500,random,merge_std,0,56.0
600,random,merge_std,0,63.0
700,random,merge_std,0,74.0
800,random,merge_std,0,88.0
900,random,merge_std,0,104.0
1000,random,merge_std,0,113.0
1100,random,merge_std,0,127.0
1200,random,merge_std,0,140.0
1300,random,merge_std,0,157.0
1400,random,merge_std,0,164.0
1500,random,merge_std,0,184.0
1600,random,merge_std,0,196.0
1700,random,merge_std,0,347.0
1800,random,merge_std,0,374.0
1900,random,merge_std,0,239.0
2000,random,merge_std,0,246.0
2100,random,merge_std,0,241.0
2200,random,merge_std,0,261.0
2300,random,merge_std,0,287.0
2400,random,merge_std,0,298.0
2500,random,merge_std,0,317.0
2600,random,merge_std,0,332.0
2700,random,merge_std,0,341.0
2800,random,merge_std,0,345.0
2900,random,merge_std,0,362.0
3000,random,merge_std,0,367.0
3100,random,merge_std,0,382.0
3200,random,merge_std,0,395.0
3300,random,merge_std,0,419.0
3400,random,merge_std,0,527.0
3500,random,merge_std,0,436.0
3600,random,merge_std,0,497.0
3700,random,merge_std,0,472.0
3800,random,merge_std,0,477.0
3900,random,merge_std,0,492.0
4000,random,merge_std,0,510.0
4100,random,merge_std,0,547.0
4200,random,merge_std,0,540.0
4300,random,merge_std,0,544.0
4400,random,merge_std,0,557.0
4500,random,merge_std,0,604.0
4600,random,merge_std,0,600.0
4700,random,merge_std,0,651.0
4800,random,merge_std,0,619.0
4900,random,merge_std,0,649.0
5000,random,merge_std,0,662.0
5100,random,merge_std,0,660.0
5200,random,merge_std,0,680.0
5300,random,merge_std,0,698.0
5400,random,merge_std,0,737.0
5500,random,merge_std,0,739.0
5600,random,merge_std,0,751.0
5700,random,merge_std,0,747.0
5800,random,merge_std,0,740.0
5900,random,merge_std,0,741.0
6000,random,merge_std,0,763.0
6100,random,merge_std,0,795.0
6200,random,merge_std,0,852.0
6300,random,merge_std,0,828.0
6400,random,merge_std,0,1192.0
6500,random,merge_std,0,860.0
6600,random,merge_std,0,917.0
6700,random,merge_std,0,901.0
6800,random,merge_std,0,926.0
6900,random,merge_std,0,932.0
7000,random,merge_std,0,966.0
7100,random,merge_std,0,975.0
7200,random,merge_std,0,965.0
7300,random,merge_std,0,988.0
7400,random,merge_std,0,1017.0
7500,random,merge_std,0,1029.0
7600,random,merge_std,0,1052.0
7700,random,merge_std,0,1052.0
7800,random,merge_std,0,1080.0
7900,random,merge_std,0,1073.0
8000,random,merge_std,0,1097.0
8100,random,merge_std,0,1164.0
8200,random,merge_std,0,1184.0
8300,random,merge_std,0,1183.0
8400,random,merge_std,0,1190.0
8500,random,merge_std,0,1188.0
8600,random,merge_std,0,1181.0
8700,random,merge_std,0,1234.0
8800,random,merge_std,0,1230.0
8900,random,merge_std,0,1246.0
9000,random,merge_std,0,1255.0
9100,random,merge_std,0,1352.0
9200,random,merge_std,0,1275.0
9300,random,merge_std,0,1310.0
9400,random,merge_std,0,1328.0
9500,random,merge_std,0,1393.0
9600,random,merge_std,0,1341.0
9700,random,merge_std,0,1354.0
9800,random,merge_std,0,1388.0
9900,random,merge_std,0,1418.0
10000,random,merge_std,0,1398.0
10100,random,merge_std,0,1399.0
10200,random,merge_std,0,1419.0
10300,random,merge_std,0,1479.0
10400,random,merge_std,0,1465.0
10500,random,merge_std,0,1471.0
10600,random,merge_std,0,1471.0
10700,random,merge_std,0,1598.0
10800,random,merge_std,0,1530.0
10900,random,merge_std,0,1538.0
11000,random,merge_std,0,1546.0
11100,random,merge_std,0,1627.0
11200,random,merge_std,0,1573.0
11300,random,merge_std,0,1623.0
11400,random,merge_std,0,1637.0
11500,random,merge_std,0,1617.0
11600,random,merge_std,0,1700.0
11700,random,merge_std,0,1647.0
11800,random,merge_std,0,1702.0
11900,random,merge_std,0,1683.0
12000,random,merge_std,0,1813.0
12100,random,merge_std,0,1741.0
12200,random,merge_std,0,1799.0
12300,random,merge_std,0,1743.0
12400,random,merge_std,0,1803.0
12500,random,merge_std,0,1795.0
12600,random,merge_std,0,1743.0
12700,random,merge_std,0,1880.0
12800,random,merge_std,0,1857.0
12900,random,merge_std,0,1898.0
13000,random,merge_std,0,1895.0
13100,random,merge_std,0,1935.0
13200,random,merge_std,0,2066.0
13300,random,merge_std,0,2242.0
13400,random,merge_std,0,1968.0
13500,random,merge_std,0,2091.0
13600,random,merge_std,0,2004.0
13700,random,merge_std,0,2026.0
13800,random,merge_std,0,2045.0
13900,random,merge_std,0,2059.0
14000,random,merge_std,0,2058.0
14100,random,merge_std,0,2102.0
14200,random,merge_std,0,2069.0
14300,random,merge_std,0,2102.0
14400,random,merge_std,0,2086.0
14500,random,merge_std,0,2155.0
14600,random,merge_std,0,2094.0
14700,random,merge_std,0,2176.0
14800,random,merge_std,0,2240.0
14900,random,merge_std,0,2207.0
15000,random,merge_std,0,2203.0
15100,random,merge_std,0,2204.0
15200,random,merge_std,0,2190.0
15300,random,merge_std,0,2227.0
15400,random,merge_std,0,2274.0
15500,random,merge_std,0,2279.0
15600,random,merge_std,0,2306.0
15700,random,merge_std,0,2247.0
15800,random,merge_std,0,2302.0
15900,random,merge_std,0,2305.0
16000,random,merge_std,0,2331.0
16100,random,merge_std,0,2524.0
16200,random,merge_std,0,2428.0
16300,random,merge_std,0,2404.0
16400,random,merge_std,0,2406.0
16500,random,merge_std,0,2320.0
16600,random,merge_std,0,2801.0
16700,random,merge_std,0,2463.0
16800,random,merge_std,0,2570.0
16900,random,merge_std,0,2558.0
17000,random,merge_std,0,2440.0
17100,random,merge_std,0,2547.0
17200,random,merge_std,0,2548.0
17300,random,merge_std,0,2590.0
17400,random,merge_std,0,2621.0
17500,random,merge_std,0,2741.0
17600,random,merge_std,0,2636.0
17700,random,merge_std,0,2539.0
17800,random,merge_std,0,2523.0
17900,random,merge_std,0,2682.0
18000,random,merge_std,0,2603.0
18100,random,merge_std,0,2712.0
18200,random,merge_std,0,2749.0
18300,random,merge_std,0,2761.0
18400,random,merge_std,0,2754.0
18500,random,merge_std,0,2813.0
18600,random,merge_std,0,2832.0
18700,random,merge_std,0,2818.0
18800,random,merge_std,0,2765.0
18900,random,merge_std,0,2846.0
19000,random,merge_std,0,2882.0
19100,random,merge_std,0,2783.0
19200,random,merge_std,0,2881.0
19300,random,merge_std,0,2870.0
19400,random,merge_std,0,2941.0
19500,random,merge_std,0,2961.0
19600,random,merge_std,0,2940.0
19700,random,merge_std,0,3000.0
19800,random,merge_std,0,3094.0
19900,random,merge_std,0,3025.0
20000,random,merge_std,0,3047.0
20100,random,merge_std,0,3004.0
