size,data_type,algorithm,threshold,time_µs
500,reversed,merge_hybrid,5,25.0
500,reversed,merge_hybrid,10,22.0
500,reversed,merge_hybrid,15,22.0
500,reversed,merge_hybrid,20,23.0
500,reversed,merge_hybrid,30,23.0
500,reversed,merge_hybrid,50,29.0
600,reversed,merge_hybrid,5,29.0
600,reversed,merge_hybrid,10,26.0
600,reversed,merge_hybrid,15,25.0
600,reversed,merge_hybrid,20,26.0
600,reversed,merge_hybrid,30,26.0
600,reversed,merge_hybrid,50,37.0
700,reversed,merge_hybrid,5,50.0
700,reversed,merge_hybrid,10,49.0
700,reversed,merge_hybrid,15,44.0
700,reversed,merge_hybrid,20,43.0
700,reversed,merge_hybrid,30,32.0
700,reversed,merge_hybrid,50,50.0
800,reversed,merge_hybrid,5,44.0
800,reversed,merge_hybrid,10,40.0
800,reversed,merge_hybrid,15,36.0
800,reversed,merge_hybrid,20,37.0
800,reversed,merge_hybrid,30,43.0
800,reversed,merge_hybrid,50,68.0
900,reversed,merge_hybrid,5,50.0
900,reversed,merge_hybrid,10,44.0
900,reversed,merge_hybrid,15,42.0
900,reversed,merge_hybrid,20,42.0
900,reversed,merge_hybrid,30,53.0
900,reversed,merge_hybrid,50,52.0
1000,reversed,merge_hybrid,5,54.0
1000,reversed,merge_hybrid,10,49.0
1000,reversed,merge_hybrid,15,49.0
1000,reversed,merge_hybrid,20,50.0
1000,reversed,merge_hybrid,30,49.0
1000,reversed,merge_hybrid,50,66.0
1100,reversed,merge_hybrid,5,60.0
1100,reversed,merge_hybrid,10,54.0
1100,reversed,merge_hybrid,15,52.0
1100,reversed,merge_hybrid,20,53.0
1100,reversed,merge_hybrid,30,52.0
1100,reversed,merge_hybrid,50,74.0
1200,reversed,merge_hybrid,5,67.0
1200,reversed,merge_hybrid,10,59.0
1200,reversed,merge_hybrid,15,58.0
1200,reversed,merge_hybrid,20,61.0
1200,reversed,merge_hybrid,30,60.0
1200,reversed,merge_hybrid,50,85.0
1300,reversed,merge_hybrid,5,88.0
1300,reversed,merge_hybrid,10,80.0
1300,reversed,merge_hybrid,15,79.0
1300,reversed,merge_hybrid,20,67.0
1300,reversed,merge_hybrid,30,68.0
1300,reversed,merge_hybrid,50,96.0
1400,reversed,merge_hybrid,5,80.0
1400,reversed,merge_hybrid,10,76.0
1400,reversed,merge_hybrid,15,69.0
1400,reversed,merge_hybrid,20,70.0
1400,reversed,merge_hybrid,30,77.0
1400,reversed,merge_hybrid,50,112.0
1500,reversed,merge_hybrid,5,90.0
1500,reversed,merge_hybrid,10,84.0
1500,reversed,merge_hybrid,15,72.0
1500,reversed,merge_hybrid,20,74.0
1500,reversed,merge_hybrid,30,87.0
1500,reversed,merge_hybrid,50,125.0
1600,reversed,merge_hybrid,5,95.0
1600,reversed,merge_hybrid,10,86.0
1600,reversed,merge_hybrid,15,79.0
1600,reversed,merge_hybrid,20,78.0
1600,reversed,merge_hybrid,30,91.0
1600,reversed,merge_hybrid,50,136.0
1700,reversed,merge_hybrid,5,104.0
1700,reversed,merge_hybrid,10,94.0
1700,reversed,merge_hybrid,15,89.0
1700,reversed,merge_hybrid,20,88.0
1700,reversed,merge_hybrid,30,106.0
1700,reversed,merge_hybrid,50,105.0
1800,reversed,merge_hybrid,5,211.0
1800,reversed,merge_hybrid,10,95.0
1800,reversed,merge_hybrid,15,91.0
1800,reversed,merge_hybrid,20,108.0
1800,reversed,merge_hybrid,30,215.0
1800,reversed,merge_hybrid,50,110.0
1900,reversed,merge_hybrid,5,112.0
1900,reversed,merge_hybrid,10,101.0
1900,reversed,merge_hybrid,15,100.0
1900,reversed,merge_hybrid,20,101.0
1900,reversed,merge_hybrid,30,124.0
1900,reversed,merge_hybrid,50,124.0
2000,reversed,merge_hybrid,5,107.0
2000,reversed,merge_hybrid,10,99.0
2000,reversed,merge_hybrid,15,98.0
2000,reversed,merge_hybrid,20,99.0
2000,reversed,merge_hybrid,30,99.0
2000,reversed,merge_hybrid,50,122.0
2100,reversed,merge_hybrid,5,111.0
2100,reversed,merge_hybrid,10,103.0
2100,reversed,merge_hybrid,15,100.0
2100,reversed,merge_hybrid,20,99.0
2100,reversed,merge_hybrid,30,100.0
2100,reversed,merge_hybrid,50,127.0
2200,reversed,merge_hybrid,5,117.0
2200,reversed,merge_hybrid,10,110.0
2200,reversed,merge_hybrid,15,110.0
2200,reversed,merge_hybrid,20,111.0
2200,reversed,merge_hybrid,30,126.0
2200,reversed,merge_hybrid,50,198.0
2300,reversed,merge_hybrid,5,125.0
2300,reversed,merge_hybrid,10,115.0
2300,reversed,merge_hybrid,15,114.0
2300,reversed,merge_hybrid,20,116.0
2300,reversed,merge_hybrid,30,115.0
2300,reversed,merge_hybrid,50,155.0
2400,reversed,merge_hybrid,5,133.0
2400,reversed,merge_hybrid,10,118.0
2400,reversed,merge_hybrid,15,117.0
