size,data_type,algorithm,threshold,time_µs
500,reversed,merge_std,0,32.0
600,reversed,merge_std,0,37.0
700,reversed,merge_std,0,76.0
800,reversed,merge_std,0,53.0
900,reversed,merge_std,0,63.0
1000,reversed,merge_std,0,67.0
1100,reversed,merge_std,0,75.0
1200,reversed,merge_std,0,83.0
1300,reversed,merge_std,0,104.0
1400,reversed,merge_std,0,97.0
1500,reversed,merge_std,0,109.0
1600,reversed,merge_std,0,110.0
1700,reversed,merge_std,0,123.0
1800,reversed,merge_std,0,126.0
1900,reversed,merge_std,0,137.0
2000,reversed,merge_std,0,129.0
2100,reversed,merge_std,0,140.0
2200,reversed,merge_std,0,148.0
2300,reversed,merge_std,0,157.0
2400,reversed,merge_std,0,168.0
2500,reversed,merge_std,0,170.0
2600,reversed,merge_std,0,185.0
2700,reversed,merge_std,0,186.0
2800,reversed,merge_std,0,196.0
2900,reversed,merge_std,0,233.0
3000,reversed,merge_std,0,209.0
3100,reversed,merge_std,0,222.0
3200,reversed,merge_std,0,223.0
3300,reversed,merge_std,0,253.0
3400,reversed,merge_std,0,243.0
3500,reversed,merge_std,0,256.0
3600,reversed,merge_std,0,273.0
3700,reversed,merge_std,0,258.0
3800,reversed,merge_std,0,300.0
3900,reversed,merge_std,0,403.0
4000,reversed,merge_std,0,314.0
4100,reversed,merge_std,0,281.0
4200,reversed,merge_std,0,304.0
4300,reversed,merge_std,0,343.0
4400,reversed,merge_std,0,654.0
4500,reversed,merge_std,0,340.0
4600,reversed,merge_std,0,339.0
4700,reversed,merge_std,0,357.0
4800,reversed,merge_std,0,339.0
4900,reversed,merge_std,0,358.0
5000,reversed,merge_std,0,353.0
5100,reversed,merge_std,0,362.0
5200,reversed,merge_std,0,420.0
5300,reversed,merge_std,0,407.0
5400,reversed,merge_std,0,444.0
5500,reversed,merge_std,0,425.0
5600,reversed,merge_std,0,452.0
5700,reversed,merge_std,0,420.0
5800,reversed,merge_std,0,439.0
5900,reversed,merge_std,0,414.0
6000,reversed,merge_std,0,450.0
6100,reversed,merge_std,0,449.0
6200,reversed,merge_std,0,578.0
6300,reversed,merge_std,0,599.0
6400,reversed,merge_std,0,472.0
6500,reversed,merge_std,0,522.0
6600,reversed,merge_std,0,514.0
6700,reversed,merge_std,0,489.0
6800,reversed,merge_std,0,516.0
6900,reversed,merge_std,0,533.0
7000,reversed,merge_std,0,520.0
7100,reversed,merge_std,0,554.0
7200,reversed,merge_std,0,744.0
7300,reversed,merge_std,0,944.0
7400,reversed,merge_std,0,546.0
7500,reversed,merge_std,0,662.0
7600,reversed,merge_std,0,589.0
7700,reversed,merge_std,0,578.0
7800,reversed,merge_std,0,587.0
7900,reversed,merge_std,0,602.0
8000,reversed,merge_std,0,589.0
8100,reversed,merge_std,0,654.0
8200,reversed,merge_std,0,600.0
8300,reversed,merge_std,0,639.0
8400,reversed,merge_std,0,641.0
8500,reversed,merge_std,0,652.0
8600,reversed,merge_std,0,638.0
8700,reversed,merge_std,0,720.0
8800,reversed,merge_std,0,700.0
8900,reversed,merge_std,0,762.0
9000,reversed,merge_std,0,681.0
9100,reversed,merge_std,0,690.0
9200,reversed,merge_std,0,712.0
9300,reversed,merge_std,0,721.0
9400,reversed,merge_std,0,737.0
9500,reversed,merge_std,0,728.0
9600,reversed,merge_std,0,724.0
9700,reversed,merge_std,0,807.0
9800,reversed,merge_std,0,773.0
9900,reversed,merge_std,0,773.0
10000,reversed,merge_std,0,838.0
10100,reversed,merge_std,0,849.0
10200,reversed,merge_std,0,769.0
10300,reversed,merge_std,0,754.0
10400,reversed,merge_std,0,849.0
10500,reversed,merge_std,0,806.0
10600,reversed,merge_std,0,1008.0
10700,reversed,merge_std,0,970.0
10800,reversed,merge_std,0,875.0
10900,reversed,merge_std,0,926.0
11000,reversed,merge_std,0,1451.0
11100,reversed,merge_std,0,863.0
11200,reversed,merge_std,0,1148.0
11300,reversed,merge_std,0,887.0
11400,reversed,merge_std,0,870.0
11500,reversed,merge_std,0,875.0
11600,reversed,merge_std,0,889.0
11700,reversed,merge_std,0,909.0
11800,reversed,merge_std,0,1011.0
11900,reversed,merge_std,0,987.0
12000,reversed,merge_std,0,955.0
12100,reversed,merge_std,0,969.0
12200,reversed,merge_std,0,1001.0
12300,reversed,merge_std,0,968.0
12400,reversed,merge_std,0,998.0
12500,reversed,merge_std,0,974.0
12600,reversed,merge_std,0,1005.0
12700,reversed,merge_std,0,1039.0
12800,reversed,merge_std,0,984.0
12900,reversed,merge_std,0,1047.0
13000,reversed,merge_std,0,1037.0
13100,reversed,merge_std,0,1056.0
13200,reversed,merge_std,0,1052.0
13300,reversed,merge_std,0,1039.0
13400,reversed,merge_std,0,1050.0
13500,reversed,merge_std,0,1375.0
13600,reversed,merge_std,0,1122.0
13700,reversed,merge_std,0,1137.0
13800,reversed,merge_std,0,1661.0
13900,reversed,merge_std,0,1083.0
14000,reversed,merge_std,0,1132.0
14100,reversed,merge_std,0,1144.0
14200,reversed,merge_std,0,1121.0
14300,reversed,merge_std,0,1166.0
14400,reversed,merge_std,0,1310.0
14500,reversed,merge_std,0,1138.0
14600,reversed,merge_std,0,1228.0
14700,reversed,merge_std,0,1135.0
14800,reversed,merge_std,0,1181.0
14900,reversed,merge_std,0,1194.0
15000,reversed,merge_std,0,1164.0
15100,reversed,merge_std,0,1205.0
15200,reversed,merge_std,0,1252.0
15300,reversed,merge_std,0,1406.0
15400,reversed,merge_std,0,1271.0
15500,reversed,merge_std,0,1207.0
15600,reversed,merge_std,0,1226.0
15700,reversed,merge_std,0,1250.0
15800,reversed,merge_std,0,1282.0
15900,reversed,merge_std,0,1222.0
16000,reversed,merge_std,0,1279.0
16100,reversed,merge_std,0,1275.0
16200,reversed,merge_std,0,1467.0
16300,reversed,merge_std,0,1343.0
16400,reversed,merge_std,0,1312.0
16500,reversed,merge_std,0,1310.0
16600,reversed,merge_std,0,1351.0
16700,reversed,merge_std,0,1368.0
16800,reversed,merge_std,0,1332.0
16900,reversed,merge_std,0,1367.0
17000,reversed,merge_std,0,1332.0
17100,reversed,merge_std,0,1375.0
17200,reversed,merge_std,0,1481.0
17300,reversed,merge_std,0,1327.0
17400,reversed,merge_std,0,1543.0
17500,reversed,merge_std,0,1383.0
17600,reversed,merge_std,0,1536.0
17700,reversed,merge_std,0,1410.0
17800,reversed,merge_std,0,1393.0
17900,reversed,merge_std,0,1559.0
18000,reversed,merge_std,0,1467.0
18100,reversed,merge_std,0,1480.0
18200,reversed,merge_std,0,1449.0
18300,reversed,merge_std,0,1481.0
18400,reversed,merge_std,0,1468.0
18500,reversed,merge_std,0,1429.0
18600,reversed,merge_std,0,1491.0
18700,reversed,merge_std,0,1475.0
18800,reversed,merge_std,0,1523.0
18900,reversed,merge_std,0,1891.0
19000,reversed,merge_std,0,1544.0
19100,reversed,merge_std,0,1557.0
19200,reversed,merge_std,0,1590.0
19300,reversed,merge_std,0,1504.0
19400,reversed,merge_std,0,1590.0
19500,reversed,merge_std,0,1763.0
19600,reversed,merge_std,0,1550.0
19700,reversed,merge_std,0,1535.0
19800,reversed,merge_std,0,1526.0
19900,reversed,merge_std,0,1634.0
20000,reversed,merge_std,0,1689.0
20100,reversed,merge_std,0,1588.0
20200,reversed,merge_std,0,1662.0
20300,reversed,merge_std,0,1699.0
20400,reversed,merge_std,0,1760.0
20500,reversed,merge_std,0,1703.0
20600,reversed,merge_std,0,1668.0
20700,reversed,merge_std,0,1806.0
20800,reversed,merge_std,0,1725.0
20900,reversed,merge_std,0,1694.0
21000,reversed,merge_std,0,1707.0
21100,reversed,merge_std,0,1766.0
21200,reversed,merge_std,0,1781.0
21300,reversed,merge_std,0,1792.0
21400,reversed,merge_std,0,1895.0
21500,reversed,merge_std,0,1951.0
21600,reversed,merge_std,0,2043.0
21700,reversed,merge_std,0,1889.0
21800,reversed,merge_std,0,2011.0
21900,reversed,merge_std,0,1922.0
22000,reversed,merge_std,0,2223.0
22100,reversed,merge_std,0,2094.0
22200,reversed,merge_std,0,2005.0
22300,reversed,merge_std,0,2018.0
22400,reversed,merge_std,0,2032.0
22500,reversed,merge_std,0,1946.0
22600,reversed,merge_std,0,2055.0
22700,reversed,merge_std,0,2115.0
22800,reversed,merge_std,0,2120.0
22900,reversed,merge_std,0,2069.0
23000,reversed,merge_std,0,2077.0
23100,reversed,merge_std,0,2133.0
23200,reversed,merge_std,0,2042.0
23300,reversed,merge_std,0,2238.0
23400,reversed,merge_std,0,2090.0
23500,reversed,merge_std,0,2035.0
23600,reversed,merge_std,0,2209.0
23700,reversed,merge_std,0,2060.0
23800,reversed,merge_std,0,2078.0
23900,reversed,merge_std,0,2122.0
24000,reversed,merge_std,0,2148.0
24100,reversed,merge_std,0,2282.0
24200,reversed,merge_std,0,2147.0
24300,reversed,merge_std,0,2196.0
24400,reversed,merge_std,0,2340.0
24500,reversed,merge_std,0,2236.0
24600,reversed,merge_std,0,2035.0
